Source SGT:String(32):Required,Destination SGT:String(32):Required,SGACL Name:String(32):Required,Rule Status:String(enabled|disabled|monitor):Required
AP,AP,AllowWeb,Enabled
AP,AUT,EMPTY,Enabled
AP,Abelardo,EMPTY,Enabled
AP,COR,EMPTY,Enabled
AP,EKO,EMPTY,Enabled
AP,EXT,EMPTY,Enabled
AP,FMC,EMPTY,Enabled
AP,GuestMobile,EMPTY,Enabled
AP,GuestWS,EMPTY,Enabled
AP,Guests,EMPTY,Enabled
AP,JuanP,EMPTY,Enabled
AP,LAB1,EMPTY,Enabled
AP,LAB2,EMPTY,Enabled
AP,Lorenzo,EMPTY,Enabled
AP,Luis,EMPTY,Enabled
AP,MM,EMPTY,Enabled
AP,MariLuz,EMPTY,Enabled
AP,PACO,EMPTY,Enabled
AP,PRINT,EMPTY,Enabled
AP,Quarantined_Systems,EMPTY,Enabled
AP,REPSOL,EMPTY,Enabled
AP,TESTSGT21,EMPTY,Enabled
AP,TESTSGT22,EMPTY,Enabled
AP,TESTSGT23,EMPTY,Enabled
AP,TESTSGT3,EMPTY,Enabled
AP,TESTSGT4,EMPTY,Enabled
AP,TESTSGT5,EMPTY,Enabled
AP,TESTSGT6,EMPTY,Enabled
AP,TESTSGT7,EMPTY,Enabled
AP,TESTSGT8,EMPTY,Enabled
AP,THIN,EMPTY,Enabled
AP,TLF,EMPTY,Enabled
AP,TOIP,EMPTY,Enabled
AP,UPS,EMPTY,Enabled
AP,Unknown,EMPTY,Enabled
AP,VISIT,EMPTY,Enabled
AP,WCOR,EMPTY,Enabled
AP,WGUEST,EMPTY,Enabled
AP,WINT,EMPTY,Enabled
AP,WMIR,EMPTY,Enabled
AP,WPDA,EMPTY,Enabled
AP,WVOIP,EMPTY,Enabled
AP,asier,EMPTY,Enabled
AP,dddd,Permit IP,Enabled
AP,istvan,EMPTY,Enabled
AP,istvan3,EMPTY,Enabled
AUT,AP,EMPTY,Enabled
AUT,AUT,EMPTY,Enabled
AUT,Abelardo,EMPTY,Enabled
AUT,COR,EMPTY,Enabled
AUT,EKO,EMPTY,Enabled
AUT,EXT,TESTSDA,Enabled
AUT,FMC,EMPTY,Enabled
AUT,GuestMobile,EMPTY,Enabled
AUT,GuestWS,EMPTY,Enabled
AUT,Guests,EMPTY,Enabled
AUT,JuanP,EMPTY,Enabled
AUT,LAB1,EMPTY,Enabled
AUT,LAB2,EMPTY,Enabled
AUT,Lorenzo,EMPTY,Enabled
AUT,Luis,EMPTY,Enabled
AUT,MM,EMPTY,Enabled
AUT,MariLuz,EMPTY,Enabled
AUT,PACO,EMPTY,Enabled
AUT,PRINT,EMPTY,Enabled
AUT,Quarantined_Systems,EMPTY,Enabled
AUT,REPSOL,EMPTY,Enabled
AUT,TESTSGT21,EMPTY,Enabled
AUT,TESTSGT22,EMPTY,Enabled
AUT,TESTSGT23,EMPTY,Enabled
AUT,TESTSGT3,EMPTY,Enabled
AUT,TESTSGT4,EMPTY,Enabled
AUT,TESTSGT5,EMPTY,Enabled
AUT,TESTSGT6,EMPTY,Enabled
AUT,TESTSGT7,EMPTY,Enabled
AUT,TESTSGT8,EMPTY,Enabled
AUT,THIN,EMPTY,Enabled
AUT,TLF,EMPTY,Enabled
AUT,TOIP,EMPTY,Enabled
AUT,UPS,EMPTY,Enabled
AUT,Unknown,EMPTY,Enabled
AUT,VISIT,EMPTY,Enabled
AUT,WCOR,EMPTY,Enabled
AUT,WGUEST,EMPTY,Enabled
AUT,WINT,EMPTY,Enabled
AUT,WMIR,EMPTY,Enabled
AUT,WPDA,EMPTY,Enabled
AUT,WVOIP,EMPTY,Enabled
AUT,asier,EMPTY,Enabled
AUT,dddd,EMPTY,Enabled
AUT,istvan,EMPTY,Enabled
AUT,istvan3,EMPTY,Enabled
Abelardo,AP,EMPTY,Enabled
Abelardo,AUT,EMPTY,Enabled
Abelardo,Abelardo,Permit IP,Enabled
Abelardo,COR,EMPTY,Enabled
Abelardo,EKO,EMPTY,Enabled
Abelardo,EXT,EMPTY,Enabled
Abelardo,FMC,EMPTY,Enabled
Abelardo,GuestMobile,EMPTY,Enabled
