Source SGT:String(32):Required,Destination SGT:String(32):Required,SGACL Name:String(32):Required,Rule Status:String(enabled|disabled|monitor):Required
AUT,EXT,TESTSDA,enabled
EXT,WCOR,Deny IP,enabled
WCOR,EXT,Deny IP,enabled
VISIT,EXT,Deny IP,enabled
EKO,AUT,TESTSDA,enabled
VISIT,THIN,Deny IP,enabled
THIN,VISIT,Deny IP,enabled
Abelardo,Abelardo,Permit IP,enabled
AP,AP,AllowWeb,enabled
COR,asier,AllowWeb,enabled
Abelardo,asier,Permit IP,enabled
asier,asier,Permit IP,enabled
asier,Abelardo,Permit IP,enabled
AP,dddd,Permit IP,enabled
AP,AUT,EMPTY,enabled
AP,COR,EMPTY,enabled
AP,EKO,EMPTY,enabled
AP,EXT,EMPTY,enabled
AP,FMC,EMPTY,enabled
AP,GuestMobile,EMPTY,enabled
AP,GuestWS,EMPTY,enabled
AP,Guests,EMPTY,enabled
AP,JuanP,EMPTY,enabled
AP,LAB1,EMPTY,enabled
AP,LAB2,EMPTY,enabled
AP,Lorenzo,EMPTY,enabled
AP,MM,EMPTY,enabled
AP,PACO,EMPTY,enabled
AP,PRINT,EMPTY,enabled
AP,REPSOL,EMPTY,enabled
AP,TESTSGT21,EMPTY,enabled
AP,TESTSGT22,EMPTY,enabled
AP,TESTSGT23,EMPTY,enabled
AP,TESTSGT3,EMPTY,enabled
AP,TESTSGT4,EMPTY,enabled
AP,TESTSGT5,EMPTY,enabled
AP,TESTSGT6,EMPTY,enabled
AP,TESTSGT7,EMPTY,enabled
AP,TESTSGT8,EMPTY,enabled
AP,THIN,EMPTY,enabled
AP,TLF,EMPTY,enabled
AP,TOIP,EMPTY,enabled
AP,UPS,EMPTY,enabled
AP,Unknown,EMPTY,enabled
AP,VISIT,EMPTY,enabled
AP,WCOR,EMPTY,enabled
AP,WGUEST,EMPTY,enabled
AP,WINT,EMPTY,enabled
AP,WMIR,EMPTY,enabled
AP,WPDA,EMPTY,enabled
AP,WVOIP,EMPTY,enabled
AP,asier,EMPTY,enabled
AP,istvan,EMPTY,enabled
AP,Quarantined_Systems,EMPTY,enabled
AP,Abelardo,EMPTY,enabled
AP,Luis,EMPTY,enabled
AP,istvan3,EMPTY,enabled
AP,MariLuz,EMPTY,enabled
AUT,AP,EMPTY,enabled
AUT,AUT,EMPTY,enabled
AUT,COR,EMPTY,enabled
AUT,EKO,EMPTY,enabled
AUT,FMC,EMPTY,enabled
AUT,GuestMobile,EMPTY,enabled
AUT,GuestWS,EMPTY,enabled
AUT,Guests,EMPTY,enabled
AUT,JuanP,EMPTY,enabled
AUT,LAB1,EMPTY,enabled
AUT,LAB2,EMPTY,enabled
